ip,score,last_seen,active_days,protocols,recent_attempts,interactive_commands
185.242.3.195,67.5,2026-07-18T23:35:29,21,1,444,443
130.12.180.51,64.2,2026-07-18T23:51:08,183,1,167,171
182.93.7.194,50.5,2026-07-13T06:56:50,16,1,14,44
23.94.211.156,47.7,2026-07-10T04:51:01,3,1,32838,32834
173.247.226.62,46.2,2026-07-19 13:25:49,35,1,3517,0
128.199.225.7,45.4,2026-07-13 15:09:07,48,2,2306,0
42.200.66.164,44.3,2026-07-09T11:16:56,14,1,6,38
45.91.64.7,42.4,2026-07-18T07:53:23,25,3,10,0
59.179.31.237,42.4,2026-07-03T22:32:21,3,2,27235,27230
213.209.159.154,42.3,2026-07-13 01:02:29,33,1,3159,0
64.89.163.168,41.8,2026-07-18 21:25:28,18,1,157,0
34.123.134.194,39.7,2026-07-12T12:52:34,7,1,6,16
176.53.159.196,39.5,2026-07-18T23:57:12,18,1,628,0
61.76.136.25,39.4,2026-07-07T09:51:43,10,1,12,58
64.89.163.143,39.1,2026-07-18 10:18:05,12,1,88,0
187.191.2.213,38.6,2026-07-07T10:05:51,6,1,211,269
2.57.122.234,38.1,2026-07-17T10:08:49,50,2,64,0
64.227.102.14,37.9,2026-07-03T00:49:19,2,1,27083,27082
64.89.163.169,37.6,2026-07-16 12:28:22,14,1,65,0
64.89.163.164,34.9,2026-07-11 20:07:12,14,1,200,0
67.205.146.126,34.3,2026-07-19 12:55:32,8,1,599,0
147.50.227.79,33.6,2026-06-30T01:33:51,12,1,6,44
171.244.37.97,33.1,2026-06-30T18:30:12,9,1,50,44
95.215.0.144,32.2,2026-07-08T09:31:21,20,2,71,0
173.197.14.231,31.9,2026-07-14 06:52:28,5,1,5004,0
46.32.228.2,31.6,2026-07-05 23:34:41,27,1,3263,0
47.100.0.134,31.4,2026-06-26T00:49:16,2,1,32156,32145
64.89.163.158,31.2,2026-07-12 00:10:25,19,1,42,0
64.89.163.163,31.1,2026-07-12 20:02:05,11,1,44,0
91.233.83.203,29.8,2026-07-05 05:28:30,16,1,1357,0
101.37.117.27,29.5,2026-07-02T09:12:38,1,1,622,610
182.93.50.90,28.9,2026-06-23T20:17:35,16,1,8,40
64.89.163.144,28.7,2026-07-06 07:02:42,14,1,88,0
205.186.144.66,28.5,2026-07-16 18:24:00,4,1,5799,0
136.248.247.188,28.3,2026-07-03T07:22:23,5,1,6,56
101.99.32.140,27.9,2026-07-12 14:47:12,8,1,204,0
92.204.138.191,27.9,2026-07-14 09:44:28,4,1,12890,0
77.90.185.21,27.4,2026-07-19 12:03:19,7,1,50,0
45.148.10.121,27.2,2026-07-05T07:10:09,175,1,191,0
213.209.159.115,26.8,2026-07-19 11:02:19,5,1,35,0
80.95.194.124,26.8,2026-07-07 11:48:14,8,1,3393,0
103.131.61.163,26.6,2026-07-19 13:49:01,4,1,598,0
177.128.204.185,26.0,2026-07-02 18:09:33,13,1,144,0
209.145.54.172,26.0,2026-06-30T06:03:27,1,1,211,35
114.66.29.48,25.8,2026-07-15 17:49:24,3,1,1037,0
121.142.87.218,25.4,2026-06-25T00:37:25,8,1,6,26
142.93.218.50,25.0,2026-07-15 18:38:56,4,1,1090,0
91.92.40.15,24.7,2026-07-17 07:25:54,4,1,320,0
167.71.239.153,24.6,2026-07-19 01:55:41,3,1,665,0
8.222.187.219,24.3,2026-07-15 14:39:05,4,1,628,0
94.154.43.10,24.2,2026-07-17 16:10:30,5,1,168,0
112.74.242.167,24.0,2026-07-18 07:06:12,5,1,90,0
47.84.64.113,23.7,2026-07-10 03:25:26,4,1,4199,0
182.218.116.96,23.3,2026-07-12 02:53:16,7,1,90,0
94.154.43.92,23.1,2026-07-16 19:10:21,5,1,126,0
134.122.78.248,23.0,2026-07-15 23:31:03,3,1,892,0
222.112.46.78,23.0,2026-07-08 15:20:39,9,1,30,0
60.205.150.186,23.0,2026-07-17 07:23:37,1,1,929,0
87.251.64.176,22.3,2026-06-26T14:51:25,66,1,1881,0
164.92.244.211,21.7,2026-07-12 04:58:38,4,1,597,0
175.195.238.137,21.7,2026-07-18 23:41:16,4,1,71,0
166.62.41.96,21.2,2026-07-13 09:57:30,2,1,2195,0
64.89.163.159,21.2,2026-06-29 13:38:33,14,1,20,0
114.33.12.13,21.0,2026-07-15 12:46:06,6,1,28,0
45.90.163.37,20.7,2026-07-15 12:57:53,2,1,481,0
8.219.182.182,20.4,2026-07-17 08:25:52,2,1,352,0
94.154.43.243,20.4,2026-07-13 14:09:39,2,1,474,0
125.227.91.167,20.3,2026-07-19 12:18:46,4,1,30,0
64.89.163.77,20.3,2026-06-28 08:59:14,15,1,16,0
160.153.175.11,20.2,2026-07-12 19:57:24,1,1,4047,0
216.144.229.11,20.2,2026-07-06 03:21:37,3,1,7325,0
161.35.8.0,20.1,2026-07-15 08:05:21,3,1,215,0
204.76.203.81,19.8,2026-07-15 01:18:22,4,1,76,0
31.220.3.165,19.8,2026-06-18 23:16:17,11,1,18144,0
20.3.129.142,19.4,2026-07-11 08:46:16,3,1,511,0
59.36.162.153,19.0,2026-07-04 17:57:20,2,1,2004,0
64.89.163.148,18.9,2026-06-27 19:57:18,9,1,78,0
113.131.200.15,18.8,2026-07-15 23:12:05,1,1,348,0
115.227.26.85,18.8,2026-07-15 18:12:15,2,1,240,0
116.198.220.179,18.5,2026-07-11 12:33:04,2,1,281,0
36.41.184.119,18.2,2026-07-12 11:00:43,5,1,30,0
95.227.60.214,17.9,2026-07-08 05:14:35,1,1,930,0
8.134.124.8,17.8,2026-07-06 18:01:49,3,1,882,0
94.154.43.41,17.7,2026-07-10 13:06:48,4,1,105,0
77.238.209.82,17.5,2026-07-18 10:56:30,1,1,90,0
1.213.214.233,17.2,2026-07-13 02:39:31,4,1,30,0
115.84.178.56,17.2,2026-07-15 22:39:53,1,1,240,0
165.22.101.210,17.0,2026-07-02 13:10:25,4,1,877,0
183.91.11.226,17.0,2026-06-25 05:18:31,7,1,998,0
120.92.16.84,16.6,2026-07-17 17:41:56,1,1,120,0
185.156.73.233,16.6,2026-06-18T01:34:14,58,1,56,0
103.105.67.170,16.5,2026-06-06T01:31:27,2,1,2734,17534
165.1.65.252,16.5,2026-07-03 20:00:37,4,1,324,0
70.32.86.195,16.5,2026-07-08 10:17:21,1,1,1449,0
72.167.43.61,16.5,2026-07-04 19:18:53,1,1,5556,0
73.92.50.154,16.5,2026-07-16 20:50:09,2,1,60,0
8.219.233.233,16.5,2026-06-25 10:03:56,6,1,1151,0
95.42.54.132,16.5,2026-07-15 19:00:49,3,1,30,0
122.168.123.76,16.4,2026-07-16 03:45:15,1,1,90,0
66.96.242.186,16.2,2026-07-15 13:53:14,1,1,90,0
94.154.43.30,16.1,2026-07-14 05:49:17,2,1,70,0
47.236.66.123,15.9,2026-06-29 23:50:10,5,1,262,0
69.4.83.194,15.9,2026-07-12 21:02:33,2,1,114,0
141.11.88.137,15.8,2026-07-08 21:10:26,2,1,147,0
141.11.88.108,15.6,2026-07-04 22:24:44,3,1,222,0
173.212.213.201,15.6,2026-06-11T21:27:31,1,1,211,56
77.90.185.17,15.6,2026-06-17T15:02:25,69,1,42,0
152.42.229.216,15.5,2026-06-27 07:16:53,6,1,247,0
208.109.244.195,15.5,2026-06-26 04:02:42,4,1,3060,0
47.236.202.5,15.5,2026-07-02 16:27:01,3,1,526,0
80.94.95.118,15.4,2026-06-17T22:58:54,63,1,28,0
47.80.63.229,15.3,2026-07-03 20:41:52,3,1,324,0
200.61.163.235,15.1,2026-07-13 04:39:12,1,1,90,0
186.5.72.30,15.0,2026-07-12 21:02:47,2,1,76,0
